Title,Genre(s),Developer(s),Publisher(s)
#Funtime,Shoot 'em up,OneGuyGames,Quantum Astrophysicists Guild
#killallzombies,Shooter,Beatshapers,Beatshapers
10 Second Ninja X,Platform,Four Circle Interactive,Curve Digital
100ft Robot Golf,Sports,No Goblin,No Goblin
101 Ways to Die,Puzzle-platform,Four Door Lemon,Vision Games
11-11: Memories Retold,Adventure,AardmanDigixArt,Bandai Namco Entertainment
13 Sentinels: Aegis Rim,Adventurereal-time strategy,Vanillaware,Atlus
140,Platform,Double Fine Productions,Abstraction Games
198X,Arcade,Hi-Bit Studios,Reset Media
1001 Spikes,Platform,8bits Fanatics,Nicalis
1979 Revolution: Black Friday,Adventureinteractive drama,iNK Stories,iNK Stories
2064: Read Only Memories,Graphic adventure,MidBoss,MidBoss
20XX,Actionplatform,Batterystaple Games,Batterystaple Games
The 25th Ward: The Silver Case,Visual novel,Grasshopper Manufacture,NIS America
2Dark,Horrorstealth,Gloomywood,Bigben Interactive
39 Days to Mars,Actionpuzzle,It's Anecdotal,It's Anecdotal
3D Billiards,Sports,Z-Software,Joindots
3D MiniGolf,Sports,Z-Software,Joindots
3 Minutes to Midnight,Point and click adventure,Scarecrow Studio,Scarecrow Studio
428: Shibuya Scramble,Visual novel,Abstraction Games,Spike Chunsoft
5 Star Wrestling: ReGenesis,Sports,Serious Parody,Serious Parody
60 Parsecs!,Action-adventurestrategy,Robot Gentleman,Robot Gentleman
60 Seconds!,Action-adventurestrategy,Robot Gentleman,Robot Gentleman
7 Days to Die,Survival horror,The Fun Pimps,Telltale Publishing
7th Sector,Action-adventure,Noskov Sergey,Sometimes You
8-bit Adventure Anthology: Volume I,Point-and-click adventure,Abstraction Games,Abstraction Games
8-Bit Armies,Real-time strategy,Petroglyph Games,Soedesco
8-Bit Hordes,Real-time strategy,Petroglyph Games,Soedesco
8-Bit Invaders,Real-time strategy,Petroglyph Games,Soedesco
88 Heroes,Platform,Bitmap Bureau,Rising Star Games
8 to Glory,Sports,Three Gates,Three Gates
9 Monkeys of Shaolin,Beat 'em up,Sobaka Studio,JP: TeyonWW: Buka Entertainment
9 -Nine-,Visual novel,Palette,Palette
911 Operator,Platform,Jutsu Games,Code Horizon
99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive
9th Dawn III,Action role-playingdungeon crawl,Valorware,Valorware
Aaero,Shooter,Mad Fellows Games,Reverb Triple XP
Aaru's Awakening,Platform,Lumenox Games,Lumenox Games
A Boy and His Blob,Platformpuzzle,Abstraction Games,Majesco Entertainment
Absolute Drift: Zen Edition,Racing,Funselektor Labs,Flippfly
Absolver,Action role-playing,Sloclap,Devolver Digital
Abyss Odyssey,Action,Ace Team,Sega
Abyss: The Wraiths of Eden,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Abzû,Adventureart,Giant Squid,505 Games
Accel World vs. Sword Art Online: Millennium Twilight,Action role-playing,Artdink,Bandai Namco Entertainment
Ace Combat 7: Skies Unknown,Flight simulator,Project Aces,Bandai Namco Entertainment
Ace of Seafood,Action,Nussoft,Playism
A Certain Magical Virtual-On,Action,Sega,Sega
Aces of the Luftwaffe,Arcade,HandyGames,HandyGames
Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone
Act It Out! A Game of Charades,Party,Snap Finger Click,Snap Finger Click
Action Henk,Platform,RageSquid,NA: RageSquidWW: Curve Digital
Active Neurons,Puzzle,Nikolai Usachev,Sometimes You
Adrift,Adventure,Three One Zero,505 Games
The Adventure Pals,Adventurerole-playing,Massive Monster,Armor Games
Adventures of Pip,Platform,Tic Toc Games,Tic Toc Games
Adventures of Scarlet Curiosity,Action role-playing,Ankake Supa,Mediascape
Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit
Adventure Time: Pirates of the Enchiridion,Action-adventure,Climax Studios,Little Orbit
Aegis Defenders,Actionstrategy,Guts Department,Guts Department
Aegis of Earth: Protonovus Assault,Tower defense,Acquire,Aksys Games
